id;user_id;phone;status;balance;version;created_at;updated_at
1;openly spear gah;(646) 454-1509 x6175;SUSPENDED;393.01;12785;2025-12-06T23:54:50;2025-12-07T17:49:42
2;absent;1-498-981-7974 x526;SUSPENDED;23753.95;21803;2025-12-07T08:23:20;2025-12-07T12:45:21
3;incidentally readjust;(837) 771-7419 x495;CLOSED;30845.79;19839;2025-12-06T22:29:26;2025-12-06T21:11:16
4;boo shirk;(270) 717-7573 x20277;ACTIVE;31742.81;13537;2025-12-07T11:49:41;2025-12-07T08:01:21
5;sermon until;426.323.5622 x52627;CLOSED;2513.4;27867;2025-12-06T22:13:56;2025-12-07T02:48:47
6;conceal whoa ha;277.807.6197 x2651;SUSPENDED;29547.44;13433;2025-12-07T09:00:51;2025-12-07T19:15:48
7;uh-huh;(811) 469-4573;SUSPENDED;6142.82;23296;2025-12-07T00:18:21;2025-12-07T02:46:48
8;achieve with;624.581.8035;CLOSED;19994.74;18992;2025-12-07T06:47:35;2025-12-07T06:38:25
9;excepting hmph;527-505-0141 x2860;ACTIVE;21486.5;8837;2025-12-07T03:40:03;2025-12-07T06:15:13
10;sin;421-691-1706;SUSPENDED;18629.01;16799;2025-12-07T12:51:44;2025-12-07T09:55:21
